"Method","Time (ms)","Own Time (ms)"
"org.apache.ignite.internal.binary.BinaryFieldAccessor$DefaultFinalClassAccessor.write0(Object, BinaryWriterExImpl) BinaryFieldAccessor.java","190","0"
"com.futurewei.alcor.netwconfigmanager.service.impl.GoalStatePersistenceServiceImpl.processPortStates(HostGoalState) GoalStatePersistenceServiceImpl.java","186","0"
"io.grpc.netty.shaded.io.netty.handler.codec.ByteToMessageDecoder.callDecode(ChannelHandlerContext, ByteBuf, List) ByteToMessageDecoder.java","183","0"
"io.grpc.netty.shaded.io.netty.handler.codec.ByteToMessageDecoder.decodeRemovalReentryProtection(ChannelHandlerContext, ByteBuf, List) ByteToMessageDecoder.java","183","0"
"io.grpc.netty.shaded.io.netty.handler.codec.http2.DefaultHttp2ConnectionDecoder.decodeFrame(ChannelHandlerContext, ByteBuf, List) DefaultHttp2ConnectionDecoder.java","183","0"
"io.grpc.netty.shaded.io.netty.handler.codec.http2.DefaultHttp2FrameReader.processPayloadState(ChannelHandlerContext, ByteBuf, Http2FrameListener) DefaultHttp2FrameReader.java","183","0"
"io.grpc.netty.shaded.io.netty.handler.codec.http2.DefaultHttp2FrameReader.readFrame(ChannelHandlerContext, ByteBuf, Http2FrameListener) DefaultHttp2FrameReader.java","183","0"
"io.grpc.netty.shaded.io.netty.handler.codec.http2.Http2ConnectionHandler.decode(ChannelHandlerContext, ByteBuf, List) Http2ConnectionHandler.java","183","0"
"io.grpc.netty.shaded.io.netty.handler.codec.http2.Http2ConnectionHandler$FrameDecoder.decode(ChannelHandlerContext, ByteBuf, List) Http2ConnectionHandler.java","183","0"
"io.grpc.netty.shaded.io.netty.handler.codec.http2.Http2InboundFrameLogger.readFrame(ChannelHandlerContext, ByteBuf, Http2FrameListener) Http2InboundFrameLogger.java","183","0"
"com.futurewei.alcor.schema.Goalstate.<clinit>() Goalstate.java","178","0"
"io.grpc.netty.shaded.io.netty.handler.codec.http2.Http2ConnectionHandler.<clinit>() Http2ConnectionHandler.java","170","0"
"org.apache.ignite.internal.binary.BinaryWriterExImpl.doWriteMap(Map) BinaryWriterExImpl.java","169","0"
"org.apache.ignite.internal.binary.BinaryWriterExImpl.writeMapField(Map) BinaryWriterExImpl.java","169","0"
"org.apache.ignite.internal.binary.BinaryWriterExImpl.doWriteObject(Object) BinaryWriterExImpl.java","169","0"
"io.grpc.netty.shaded.io.netty.handler.codec.http2.DefaultHttp2FrameReader.readHeadersFrame(ChannelHandlerContext, ByteBuf, int, Http2FrameListener) DefaultHttp2FrameReader.java","160","0"
"com.futurewei.alcor.netwconfigmanager.service.impl.GoalStatePersistenceServiceImpl.processNeighborStates(HostGoalState) GoalStatePersistenceServiceImpl.java","155","0"
"java.lang.Class.getMethod(String, Class[]) Class.java","155","155"
"io.grpc.netty.shaded.io.netty.handler.codec.http2.DefaultHttp2FrameReader$1.processFragment(boolean, ByteBuf, int, Http2FrameListener) DefaultHttp2FrameReader.java","150","0"
"com.google.protobuf.Descriptors$FileDescriptor.internalBuildGeneratedFileFrom(String[], Descriptors$FileDescriptor[], Descriptors$FileDescriptor$InternalDescriptorAssigner) Descriptors.java","145","0"
"com.google.protobuf.GeneratedMessageV3.getMethodOrDie(Class, String, Class[]) GeneratedMessageV3.java","145","0"
"java.lang.reflect.Method.invoke(Object, Object[]) Method.java","140","45"
"io.grpc.netty.shaded.io.netty.handler.codec.http2.DefaultHttp2ConnectionDecoder$FrameReadListener.onHeadersRead(ChannelHandlerContext, int, Http2Headers, int, short, boolean, int, boolean) DefaultHttp2ConnectionDecoder.java","139","0"
"io.grpc.netty.shaded.io.netty.handler.codec.http2.Http2InboundFrameLogger$1.onHeadersRead(ChannelHandlerContext, int, Http2Headers, int, short, boolean, int, boolean) Http2InboundFrameLogger.java","139","0"
"io.grpc.netty.shaded.io.grpc.netty.NettyServerHandler.newHandler(ChannelPromise, Http2FrameReader, Http2FrameWriter, ServerTransportListener, List, TransportTracer, int, int, int, int, long, long, long, long, long, boolean, long) NettyServerHandler.java","138","24"
"io.grpc.netty.shaded.io.netty.channel.epoll.AbstractEpollServerChannel$EpollServerSocketUnsafe.epollInReady() AbstractEpollServerChannel.java","138","0"
"io.grpc.netty.shaded.io.grpc.netty.NettyServerHandler.onHeadersRead(ChannelHandlerContext, int, Http2Headers) NettyServerHandler.java","127","0"
"io.grpc.netty.shaded.io.grpc.netty.NettyServerHandler$FrameListener.onHeadersRead(ChannelHandlerContext, int, Http2Headers, int, short, boolean, int, boolean) NettyServerHandler.java","127","0"
"io.grpc.netty.shaded.io.grpc.netty.ProtocolNegotiators$1$1PlaintextHandler.handlerAdded(ChannelHandlerContext) ProtocolNegotiators.java","113","0"
"io.grpc.netty.shaded.io.netty.channel.DefaultChannelPipeline.addLast(EventExecutorGroup, ChannelHandler[]) DefaultChannelPipeline.java","113","0"
"io.grpc.netty.shaded.io.netty.channel.DefaultChannelPipeline.addLast(ChannelHandler[]) DefaultChannelPipeline.java","113","0"
"io.grpc.netty.shaded.io.netty.channel.DefaultChannelPipeline.addLast(EventExecutorGroup, String, ChannelHandler) DefaultChannelPipeline.java","113","0"
"io.grpc.netty.shaded.io.netty.channel.DefaultChannelPipeline.replace(AbstractChannelHandlerContext, String, ChannelHandler) DefaultChannelPipeline.java","113","0"
"io.grpc.netty.shaded.io.netty.channel.DefaultChannelPipeline.replace(ChannelHandler, String, ChannelHandler) DefaultChannelPipeline.java","113","0"
"com.google.protobuf.GeneratedMessageV3$FieldAccessorTable$SingularFieldAccessor.<init>(Descriptors$FieldDescriptor, String, Class, Class, String) GeneratedMessageV3.java","110","0"
"io.grpc.netty.shaded.io.grpc.netty.NettyServerHandler.handlerAdded(ChannelHandlerContext) NettyServerHandler.java","102","0"
"com.futurewei.alcor.schema.Common.<clinit>() Common.java","101","0"
"com.google.protobuf.AbstractMessageLite.toByteArray() AbstractMessageLite.java","95","0"
"com.google.protobuf.GeneratedMessageLite$SerializedForm.<init>(MessageLite) GeneratedMessageLite.java","95","0"
"com.google.protobuf.GeneratedMessageV3.writeReplace() GeneratedMessageV3.java","95","0"
"org.apache.ignite.internal.binary.BinaryClassDescriptor.writeReplace(Object) BinaryClassDescriptor.java","95","0"
"org.apache.ignite.internal.binary.BinaryMethodWriteReplacer.replace(Object) BinaryMethodWriteReplacer.java","95","0"
"com.google.protobuf.AbstractParser.parseFrom(byte[], ExtensionRegistryLite) AbstractParser.java","90","0"
"com.google.protobuf.AbstractParser.parseFrom(byte[]) AbstractParser.java","90","0"
"com.google.protobuf.AbstractParser.parseFrom(byte[], int, int, ExtensionRegistryLite) AbstractParser.java","90","0"
"com.google.protobuf.AbstractParser.parseFrom(byte[]) AbstractParser.java","90","0"
"com.google.protobuf.AbstractParser.parsePartialFrom(byte[], int, int, ExtensionRegistryLite) AbstractParser.java","90","0"
"com.google.protobuf.DescriptorProtos$FileDescriptorProto.<init>(CodedInputStream, ExtensionRegistryLite, DescriptorProtos$1) DescriptorProtos.java","90","0"
"com.google.protobuf.DescriptorProtos$FileDescriptorProto.<init>(CodedInputStream, ExtensionRegistryLite) DescriptorProtos.java","90","0"
"com.google.protobuf.DescriptorProtos$FileDescriptorProto.parseFrom(byte[]) DescriptorProtos.java","90","0"
"com.google.protobuf.DescriptorProtos$FileDescriptorProto$1.parsePartialFrom(CodedInputStream, ExtensionRegistryLite) DescriptorProtos.java","90","0"
"com.google.protobuf.DescriptorProtos$FileDescriptorProto$1.parsePartialFrom(CodedInputStream, ExtensionRegistryLite) DescriptorProtos.java","90","0"
"com.futurewei.alcor.netwconfigmanager.entity.VpcResourceMeta.getResourceMeta(String) VpcResourceMeta.java","89","0"
